Status,Reason To Go,Reason To Go - Category,Reason To Go - All Tags,Reason Not To Go,Reason Not To Go - Category,Reason Not To Go - All Tags,What Would Help
No,,,,"4 other needy children at home including a child with Autism. Work, cost etc.",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Money and time off work,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,Want to build a testimony building experience with Arin.,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
No,,,,Time away from my younger children,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,,,,
Yes,Experience with my daughter before she graduates and service opportunity,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
No,,,,Other kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Logistics,Other / Uncategorized,,
No,,,,"This was for my kids I wanted them to have ""me, mom"" free time.",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I wanted him to experience it alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My husband is already going with my son and we felt like two parents on his trip would be overkill and costly. Bummed because it sounds amazing!,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,"Price, length of being away from other children",Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,Other family at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Child wanted to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I wanted my child to have an experience without me so that it was special for them. I do want to go some day! I love this program so much!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I want my kids to have an experience on their own--to know that they can do hard things without me,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,my kid would hold back if I was there,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My kids think they would get more out of their trip without a parent.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Too many other commitments right now.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,I have 6 other kids at home right now,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My kids wanted to go on their own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Other small children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,new job,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Want my daughter to have experience on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My child did not want a parent with her this time,Work Schedule / Time Off,Work Schedule / Time Off; Child Didn't Want Parent to Come,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,I totally would have but my builder said she needed to go and prepare to do things on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,I initially went with my older daughter as I feel it is so important that they are exposed to the world and how blessed we are to have the luxuries and life we do. I had such a wonderful experience with her I wanted to go with my younger daughter as well.,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,My daughter,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,Want my kid to be on his own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Our kids need an adventure without his parents.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,"She went on an HXP trip last year and loved it, so we decided to send her on another one in a warmer location.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,His sister went on an HXP trip last year and he wanted to go this year and see what it is all about. Also what a great opportunity for him to go serve others.,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Work and money. More important that our child go on these trips,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Money,Cost / Finances,Cost / Finances,
Yes,Wanted to share the experience with my son,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,,,,,,,
Yes,Past parent builder testimonials,Trust in the HXP Program,Trust in the HXP Program,,,,
No,,,,"Money, time",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,Don't want to send 14 year old alone to meet up,Concerned About Child Going Alone / Safety,Concerned About Child Going Alone / Safety,,,,
No,,,,They already had both parent builders needed.,Trip / Spot Was Already Full,Trip / Spot Was Already Full,
No,,,,Cost and amount of time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Cost and wanting my child to have an independent experience,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,Time/ cost/ availability,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,Wanted to have this kind of experience with my kids,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Opportunity for child to grow on own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,She doesn't want me to. Wants to be a big girl :),Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
Maybe,,,,,,,Help with the expense
No,,,,Cost,Cost / Finances,Cost / Finances,
Yes,My youth,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,My child wanted to go on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Just have smaller kids at home but would have liked to,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"I would've been happy to go on any other trip other than my own child. Even though it can be an incredibly bonding experience to do something like this with your child, this is uniquely, pivotal and giving my child necessary time away from home and family to really Grow and examine their selves independently.",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Builders choice,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money and choosing which of my two girls to go with.,Cost / Finances,Cost / Finances,
No,,,,Money and choosing between my girls,Cost / Finances,Cost / Finances,
No,,,,I went last year and loved it. I will go again next year.,Other / Uncategorized,,
Yes,Husband went with older 2 kids. Now it's my turn!,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,,,,
No,,,,"Time away from family, work, and calling",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,older sibling went and had a great experience.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,My son wanted an experience without me,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Want my child to have an experience without her parents,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"I tried, but there wasn't a spot available for me to go.",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Price. Just can't afford to send two of us,Cost / Finances,Cost / Finances,
Yes,Spending time with my son and being able to give to others.,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,Wanted to open a spot for my son,Securing/Ensuring Child's Spot (Registration Timing),Securing/Ensuring Child's Spot (Registration Timing),,,,
No,,,,Wanted our daughter to have her own experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,My child prefers I didn't go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,It's too expensive to send a kid and a parent builder! Especially since the trips are more this year.,Cost / Finances,Cost / Finances,
No,,,,I think he needs this experience on his own without Mom and Dad there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,We sent an older daughter a few years ago. Ever since then I have felt very strongly that I am supposed to go with the daughter I'm going with this year. I guess my answer is The Spirit. Everything in my life right now except for The Spirit says this is a bad idea. I have no doubt it's the right idea.,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,busy work schedule and no one asked.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My son needed independence,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time off,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Work demands,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost,Cost / Finances,Cost / Finances,
Yes,"Time with my son, experience the adventure and opportunity myself, and the ability to learn and grow from such awesome youth",Wanted Shared Experience with Child,Wanted Shared Experience with Child; Love of Travel / Culture,,,,
No,,,,,,,
No,,,,My child needed to go do something without his parent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Too many young kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Previous builder t,Other / Uncategorized,,
No,,,,Not enough money to send me and my daughter,Cost / Finances,Cost / Finances,
No,,,,friends and family have been before,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,My son didn't want us to go with him.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,"Couldn't get time off, expense",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,My son wants to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Maybe,,,,,,,Finding childcare for my younger kids not on the trip
No,,,,"I went last year and so did my husband, so my daughter wanted to experience it all on her own this year. I would love to next year!",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,Other kids at home and planned activities,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,My daughter,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,,,,
Yes,Prayer,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,My job,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
Yes,,,,,,,
No,,,,Money. :( I would love to in the future if I can ever afford it!!!!! I want to so bad! :) I went to Tonga as a parent several years ago for my youngest sister and it was such an amazing experience! I have eagerly awaited for my kids to have this experience!!!,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,Smaller kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Cost/time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,"Younger kids at home, and also wanting my son to have this experience independently",Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,too hard to leave the other children at home for that length of time,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,,,,
No,,,,My child said they wanted this to be an independent experience :(,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Price,Cost / Finances,Cost / Finances,
No,,,,My criterion is to help my daughter increase autonomy.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost and I think my daughter would do better without me there.,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,just not a traveler,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
No,,,,Time commitment,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Money and work,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,We couldn't get time off work and other family responsibilities.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Our son didn't want us too, otherwise we would have gone",Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,,,,
Yes,Not willing to let my child leave the country without me :),Concerned About Child Going Alone / Safety,Concerned About Child Going Alone / Safety,,,,
No,,,,my child wanted an experience independent of me,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"other kids at home. I travel a lot myself, but don't think my kids would want me to be there. I'd like them to have their own experience",Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Cost; Work commitments,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,No time off work.,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,My husband went last year with our daughter and had a great experience.,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Previous Positive Experience,,,,
No,,,,"Work schedule, price, health.",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Health / Physical / Age,
No,,,,"Work, price, health",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Health / Physical / Age,
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"Didn't know it was an option, but I want our child to go solo anyway.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Not Aware It Was an Option,
Maybe,,,,,,,Maybe with one of my next kids as the younger ones get older.
No,,,,"Money and my other 4 kids at home, also I did want my daughter to experience not having me around",Cost / Finances,Cost / Finances; Other Kids / Family at Home; Wants Child to Have Independent Experience,
Yes,My daughter,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,Other obligations,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,cost and work obligations,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Maybe,,,,,,,Not sure
No,,,,,,,
No,,,,My daughter didn't want me to! 🤣,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,I couldn't afford it.,Cost / Finances,Cost / Finances,
Yes,Previous children and wife went to HXP and I love the whole mission and vision of HCP,Previous Positive Experience,Previous Positive Experience; Faith / Service Motivation,,,,
No,,,,We will be out of town,Other Life Commitment,Other Life Commitment,
Yes,The great experience that you guys provide the leadership that you have and the opportunity to help the youth experience another culture,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Love of Travel / Culture,,,,
Maybe,,,,,,,I don't know much about it. I would need more info
No,,,,Price,Cost / Finances,Cost / Finances,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,She was so excited to do a trip by herself,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,My son :),Family's Own Choice (No Elaboration),Family's Own Choice (No Elaboration),
No,,,,,,,
No,,,,work,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,Husband went last year with our daughter.,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,I wanted my builder to have a more personal experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,child wanted the independence,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Home schedule too busy,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,She wanted to go on her own and experience some independance,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Our daughter needed to experience this growth on her own, but we will miss her like crazy",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My kids what to have their own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,Always wanted to do a humanitarian trip,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,I can't take that much time off of work.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My son's preference & husbands work schedule,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I already went with another child. I would love to go again. It's just a lot of money to send two people.,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,The price and too many kids at home,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,,,,
No,,,,My child needs this experience independent of me.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My son didn't want me to! :),Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,My daughter wanted to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,price,Cost / Finances,Cost / Finances,
No,,,,too much going on at home,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Can't take off work for that long/leave the younger kuds,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,I am in school and don't have the time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Other children at home to take care of,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,Gone in the past. going this year but to WV with another son (not Kenya),Previous Positive Experience,Previous Positive Experience,,,,
No,,,,Unable to commit for that long due to other obligations,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,I'd like my child to branch out without me there. I think she'd stuck by my side and not have a full experience that she would without me.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"We are very involved with our child's activities at home & school and we want him to have the opportunity to have independent travel, cultural and spiritual experiences ...I know my husband and I would love being Parent Builders :(",Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Wanted my son to have experience with new friends and not a patent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My husband is going with my son!,Another Family Member Going Instead,Another Family Member Going Instead,
Yes,My child invited me,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,,,,
No,,,,Daughter didn't want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,"My own health and for my husband, the inability to take off that amount of time from work",Work Schedule / Time Off,Work Schedule / Time Off; Health / Physical / Age,
No,,,,I have no extra time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Other children,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,So my daughter could have her own unique experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,"Help my 14 year old, bonding experience",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Give my son space to have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time and cost,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Other children at home,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,My daughter,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,I have 5 kids and two of them are younger than Kindergarten,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,Timing- otherwise I'd love to go - wanted my child to have their own experience independent from me,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,I couldn't be away from work for that long and my child didn't care if I was there or not.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,We think our son will have a better experience with out us there,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,,,,
No,,,,My daughter didn't care if I went; hard to take off work for 3 weeks.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Because of other travel plans, I would've been out of town for longer than a month, which I'm not able to do.",Other Life Commitment,Other Life Commitment,
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My child didn't want me along,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Past Experiences,Other / Uncategorized,,
No,,,,"This summer, I'm unable to with my younger son at home. I would love to go along with him in the future when he goes, though!",Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Time and wanting my bullder to have their own experience,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Wanted daughter to have a solo experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Wanted him to grow,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,It was full.,Trip / Spot Was Already Full,Trip / Spot Was Already Full,
No,,,,"My husband served his mission in Ecuador, and speaks Spanish fluently so it would make sense for him to be the one to go. But our son would have hung out with him most of the time rather than having to put himself out there and get to know people. It would have changed his dynamic and we wanted him to have the experience on his own. It's also a long time to be gone from work and other kids.",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home; Wants Child to Have Independent Experience; Other Life Commitment,
Yes,Having gone on a previous trip,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,Wanted to give my son space to have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,practicality of leaving my family for 3 weeks,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Let our child have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Other Extended Family went last year,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Just time commitments.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I am a trip leader for a different experience with my daughter this summer,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,other younger children,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,My daughter wanted to go alone.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I have younger children,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,"time with my daughter, doing something for others",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,My son wants to have an experience on his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,my daughter wanted to do this independently,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Maybe,,,,,,,Free time
Yes,"spend time with my son, build memories together and watch him grow.",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,I wanted my daughter to experience it without me!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Daughter wanted to have her own adventure,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
Maybe,,,,,,,Finances and logistics with other children/husband.
No,,,,Busy with other kids,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,My child wanted to gain confidence and independence on this first trip. I'd love to go in the future.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I didn't want a competition in relationship building.,Other / Uncategorized,,
No,,,,Don't know anyone who has done it personally so wasn't able to hear what to expect.,Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Too busy with other kids at home.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,I have younger kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Cost & scheduling conflict,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,"We want our son to have an experience without us. We are viewing this as mission prep - doing things on his own, finding solutions to problems, showing grit and flexibility, etc.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Money and obligations at home,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Time off work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Norhing,Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,The cost,Cost / Finances,Cost / Finances,
No,,,,My child wants to meet new people on his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My daughter wanted to go alone. Her dad went the last time with another daughter.,Work Schedule / Time Off,Work Schedule / Time Off; Another Family Member Going Instead; Wants Child to Have Independent Experience,
No,,,,"Work conflict, wanted my builder to go on their own",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,"It is difficult with my schedule for me to go. Additoinally, my kids wanted to have this opporunity to ""spread their wings"" and be more independent without my wife or me there.",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,This an experience my kid wanted to have on his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I felt this was a great growing experiance for my daughter that to do on her own before college.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
Yes,My husband and I decided to take turns going with our boys on these trips when we first heard about HEFY years ago and have been saving to do so since then.,Previous Positive Experience,Previous Positive Experience,,,,
No,,,,"Too many other vacations on the calendar already. Daughter wanted it to be an ""independent"" experience w/o parents",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Not able for many reasons,Other / Uncategorized,,
No,,,,Can't get time off work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Money and time. Also, our daughter needs an experience on her own without family.",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,"The added expense. Sending a child was expense enough, we could not double the expense. One parent is needed to stay home. The other does not have paid vacation, making the trip even more expensive with the lost income.",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,We want our son to experience HXP on his own. We think it will be good for him.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,We would have loved to go but we were moving 1/2 way across the country the same time.,Work Schedule / Time Off,Work Schedule / Time Off; Other Life Commitment,
No,,,,money,Cost / Finances,Cost / Finances,
No,,,,"My son went last year and he likes being on his own. He would have been fine having us go, but I think he likes the independence.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My builder didn't want me on the trip,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,$$$,Cost / Finances,Cost / Finances,
No,,,,Too many younger kids at home still,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Expense,Cost / Finances,Cost / Finances,
No,,,,I hope my child will have a positive experience away from home and independent from me.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Timing,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My husband and I have both been a parent builder for this child and she wanted to go on her own this year,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Just no time to take off work this year I would LOVE to I. The future if I can make it woek,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
Yes,Need and my daughter said it was okay,Other / Uncategorized,,,,,
No,,,,"Work, ill probably go later",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Family responsibilities at home and builder wants an independent experience,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Unable to get that much time off of work.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I just need my other kids to be older or I'd be there in a heartbeat!,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Allow my daughter time and growth Independent of parents,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,,,,
Yes,,,,,,,
Yes,Wanting to experience some of the things they have experienced with their previous trips. This is also my youngest and so last opportunity.,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Previous Positive Experience,,,,
No,,,,"Brighton did not want either of us to go, he wanted to go on his own. He wanted an experience on his own before he goes on his mission in a year.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,"Money, but would love to go in the future",Cost / Finances,Cost / Finances,
Yes,I have always wanted to do something like this.,Other / Uncategorized,,,,,
No,,,,Time and money. I would love to go at some point.,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,We wanted our kids to have the opportunity to go parent free,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"I travelled on humanitarian trips when I was young, without my parents. This was an incredible time for me to grow. I want the same for my daughter.",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,Other children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Other kids are too young planning on going when they're older.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Daughter wanted to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I've been a parent builder twice before and my daughter wants to go without me 😂,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Having other children at home,Other Kids / Family at Home,Other Kids / Family at Home,
Maybe,,,,,,,I would've loved to go on this one. My daughter wasn't as excited when we were signing up! But now she wishes I were going! 😂
